xzb youtube x直播
$c_start 央视$c_end
🇨🇳CCTV央视,#genre#
浙江卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-zhejiangstv/1.m3u8?channel-id=ystenlive
东方卫视HD,http://111.11.121.184:6610/030000001001/hddongfangstv/1.m3u8?channel-id=ystenlive
东方卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-dongfangstv/1.m3u8?channel-id=ystenlive
广东卫视HD,http://111.11.121.184:6610/030000001001/hdguangdongstv/1.m3u8?channel-id=ystenlive
广东卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-guangdongstv/1.m3u8?channel-id=ystenlive
深圳卫视HD,http://111.11.121.184:6610/030000001001/hdshenzhenstv/1.m3u8?channel-id=ystenlive
深圳卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-shenzhenstv/1.m3u8?channel-id=ystenlive
山东卫视HD,http://111.11.121.184:6610/030000001001/hdshandongstv/1.m3u8?channel-id=ystenlive
山东卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-shandongstv/1.m3u8?channel-id=ystenlive
北京卫视HD,http://111.11.121.184:6610/030000001001/hdbeijingstv/1.m3u8?channel-id=ystenlive
北京卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-beijingstv/1.m3u8?channel-id=ystenlive
天津卫视HD,http://111.11.121.184:6610/030000001001/hdtianjinstv/1.m3u8?channel-id=ystenlive
天津卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-tianjinstv/1.m3u8?channel-id=ystenlive
湖北卫视HD,http://111.11.121.184:6610/030000001001/hdhubeistv/1.m3u8?channel-id=ystenlive
湖北卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-hubeistv/1.m3u8?channel-id=ystenlive
黑龙江卫视HD,http://111.11.121.184:6610/030000001001/hdheilongjiangstv/1.m3u8?channel-id=ystenlive
黑龙江卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-heilongjiangstv/1.m3u8?channel-id=ystenlive
江西卫视HD,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-jiangxistv/1.m3u8?channel-id=ystenlive
重庆卫视,http://111.11.121.184:6610/030000001001/chongqingstv/1.m3u8?channel-id=ystenlive
东方卫视,http://111.11.121.184:6610/030000001001/dongfangstv/1.m3u8?channel-id=ystenlive
东南卫视,http://111.11.121.184:6610/030000001001/dongnanstv/1.m3u8?channel-id=ystenlive
广东卫视,http://111.11.121.184:6610/030000001001/guangdongstv/1.m3u8?channel-id=ystenlive
广西卫视,http://111.11.121.184:6610/030000001001/guangxistv/1.m3u8?channel-id=ystenlive
贵州卫视,http://111.11.121.184:6610/030000001001/guizhoustv/1.m3u8?channel-id=ystenlive
河南卫视,http://111.11.121.184:6610/030000001001/henanstv/1.m3u8?channel-id=ystenlive
湖南卫视,http://111.11.121.184:6610/030000001001/hunanstv/1.m3u8?channel-id=ystenlive
江苏卫视,http://111.11.121.184:6610/030000001001/jiangsustv/1.m3u8?channel-id=ystenlive
江西卫视,http://111.11.121.184:6610/030000001001/jiangxistv/1.m3u8?channel-id=ystenlive
宁夏卫视,http://111.11.121.184:6610/030000001001/ningxiastv/1.m3u8?channel-id=ystenlive
山东卫视,http://111.11.121.184:6610/030000001001/shandongstv/1.m3u8?channel-id=ystenlive
山西卫视,http://111.11.121.184:6610/030000001001/shanxistv/1.m3u8?channel-id=ystenlive
深圳卫视,http://111.11.121.184:6610/030000001001/shenzhenstv/1.m3u8?channel-id=ystenlive
浙江卫视,http://111.11.121.184:6610/030000001001/zhejiangstv/1.m3u8?channel-id=ystenlive
安徽卫视,http://111.11.121.184:6610/030000001001/anhuistv/1.m3u8?channel-id=ystenlive
北京卫视,http://111.11.121.184:6610/030000001001/beijingstv/1.m3u8?channel-id=ystenlive
甘肃卫视,http://111.11.121.184:6610/030000001001/gansustv/1.m3u8?channel-id=ystenlive
河北卫视,http://111.11.121.184:6610/030000001001/hebeistv/1.m3u8?channel-id=ystenlive
湖北卫视,http://111.11.121.184:6610/030000001001/hubeistv/1.m3u8?channel-id=ystenlive
辽宁卫视,http://111.11.121.184:6610/030000001001/liaoningstv/1.m3u8?channel-id=ystenlive
内蒙古卫视,http://111.11.121.184:6610/030000001001/neimenggustv/1.m3u8?channel-id=ystenlive
青海卫视,http://111.11.121.184:6610/030000001001/qinghaistv/1.m3u8?channel-id=ystenlive
陕西卫视,http://111.11.121.184:6610/030000001001/shanxi1stv/1.m3u8?channel-id=ystenlive
四川卫视,http://111.11.121.184:6610/030000001001/sichuanstv/1.m3u8?channel-id=ystenlive
天津卫视,http://111.11.121.184:6610/030000001001/tianjinstv/1.m3u8?channel-id=ystenlive
新疆卫视,http://111.11.121.184:6610/030000001001/xinjiangstv/1.m3u8?channel-id=ystenlive
云南卫视,http://111.11.121.184:6610/030000001001/yunnanstv/1.m3u8?channel-id=ystenlive
哈哈炫动,http://111.11.121.184:6610/030000001001/xuandongkaton/1.m3u8?channel-id=ystenlive
卡酷少儿,http://111.11.121.184:6610/030000001001/kakukaton/1.m3u8?channel-id=ystenlive
西藏卫视,http://111.11.121.184:6610/030000001001/xizangstv/1.m3u8?channel-id=ystenlive
中国教育1,http://111.11.121.184:6610/030000001001/jiaoyutv/1.m3u8?channel-id=ystenlive
金鹰卡通,http://111.11.121.184:6610/030000001001/jinyingkaton/1.m3u8?channel-id=ystenlive
优漫卡通,http://111.11.121.184:6610/030000001001/youmankaton/1.m3u8?channel-id=ystenlive
吉林卫视,http://111.11.121.184:6610/030000001001/jilinstv/1.m3u8?channel-id=ystenlive
山东教育,http://111.11.121.184:6610/030000001001/shandongjy/1.m3u8?channel-id=ystenlive
